City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,candon,17.1947,120.4517,29.45,73,100,0.55,PH,1690159610
83,punta del este,-34.9667,-54.95,12.06,84,100,5.66,UY,1690159610
84,hastings,50.8552,0.5729,16.86,45,44,5.54,GB,1690159611
85,lihue,21.9789,-159.3672,28.77,75,75,7.72,US,1690159611
86,les cayes,18.2,-73.75,26.88,87,19,2.87,HT,1690159611
87,gadzhiyevo,69.2551,33.3362,9.12,96,100,7.48,RU,1690159611
88,thinadhoo,0.5333,72.9333,28.33,75,17,3.84,MV,1690159611
89,tazovsky,67.4667,78.7,16.34,82,0,0.43,RU,1690159611
90,kununurra,-15.7667,128.7333,18.99,32,5,7.72,AU,1690159521
91,mogadishu,2.0371,45.3438,24.87,84,67,7.78,SO,1690159612
92,port mathurin,-19.6833,63.4167,22.99,74,73,6.79,MU,1690159612
93,kilindoni,-7.9139,39.6668,24.94,76,98,7.37,TZ,1690159612
94,afaahiti,-17.75,-149.2833,26.93,79,79,4.94,PF,1690159612
95,kutum,14.2,24.6667,26.65,44,79,4.95,SD,1690159612
96,nanchong,30.7951,106.0847,25.86,90,100,3.0,CN,1690159395
97,san julian,21.0167,-102.1667,22.42,40,100,1.85,MX,1690159585
98,knokke,50.7979,3.3628,17.74,95,100,1.34,BE,1690159613
99,tangalle,6.024,80.7911,25.09,86,49,5.17,LK,1690159613
100,port elizabeth,-33.918,25.5701,12.16,71,0,7.2,ZA,1690159528
101,mount isa,-20.7333,139.5,13.87,35,0,9.26,AU,1690159429
102,lashio,22.9333,97.75,21.87,98,95,0.24,MM,1690159613
103,hamilton,39.1834,-84.5333,26.47,53,0,2.57,US,1690159411
104,qa'en,33.7265,59.1844,20.57,19,0,4.13,IR,1690159613
105,saint-pierre,-21.3393,55.4781,20.32,73,20,3.09,RE,1690159613
106,pontes e lacerda,-15.2261,-59.3353,21.31,40,0,0.98,BR,1690159614
107,lospalos,-8.5186,127.0025,23.22,61,98,5.92,TL,1690159614
108,ilulissat,69.2167,-51.1,8.01,93,100,3.09,GL,1690159614
109,codrington,-38.2667,141.9667,13.06,78,100,4.04,AU,1690159487
110,lymington,50.7577,-1.5443,16.09,88,77,4.23,GB,1690159614
111,kodiak,57.79,-152.4072,15.73,72,0,4.63,US,1690159614
112,avarua,-21.2078,-159.775,26.03,83,3,5.14,CK,1690159614
113,acarau,-2.8856,-40.12,25.73,79,6,5.65,BR,1690159615
114,atafu village,-8.5421,-172.5159,28.72,76,20,6.72,TK,1690159615
115,coruripe,-10.1256,-36.1756,22.73,84,0,4.4,BR,1690159615
116,vorgashor,67.5833,63.95,14.44,94,89,3.68,RU,1690159615
117,tsiombe,-25.3,45.4833,17.06,93,0,2.46,MG,1690159615
118,touros,-5.1989,-35.4608,24.14,81,16,6.36,BR,1690159615
119,mitu,1.1983,-70.1733,22.34,98,88,0.59,CO,1690159615
120,carutapera,-1.195,-46.02,24.9,85,52,2.56,BR,1690159615
121,capinota,-17.7167,-66.2333,19.67,58,0,2.84,BO,1690159616
122,sittwe,20.15,92.9,27.81,83,100,4.33,MM,1690159616
123,conde,-7.2597,-34.9075,22.7,94,40,4.12,BR,1690159616
124,wabag,-5.4781,143.7021,17.17,76,100,0.6,PG,1690159616
125,angaur state,6.906,134.13,28.38,78,100,7.94,PW,1690159616
126,hermanus,-34.4187,19.2345,11.78,65,78,3.21,ZA,1690159616
127,peniche,39.3558,-9.3811,20.04,95,8,4.59,PT,1690159616
128,porto novo,6.4965,2.6036,23.9,97,98,2.48,BJ,1690159617
129,grande prairie,55.1667,-118.8027,23.1,35,75,3.09,CA,1690159585
130,boguchany,58.3814,97.4531,20.85,68,82,0.72,RU,1690159617
131,lamu,-2.2717,40.902,24.12,83,93,5.94,KE,1690159617
132,kuanda,56.3161,116.0806,22.96,57,93,0.36,RU,1690159617
133,vadso,70.0744,29.7487,8.49,93,100,7.2,NO,1690159485
134,kill devil hills,36.0307,-75.676,26.66,79,0,3.09,US,1690159617
135,palangkaraya,-2.2,113.8333,27.22,73,78,1.84,ID,1690159617
136,invercargill,-46.4,168.35,9.83,88,96,0.11,NZ,1690159618
137,mejit,10.2753,170.8646,28.51,78,24,8.27,MH,1690159619
138,g'uzor,38.6214,66.2522,23.02,23,71,1.52,UZ,1690159619
139,grand-lahou,5.1367,-5.0242,24.04,92,100,2.75,CI,1690159620
140,alofi,-19.0595,-169.9187,25.94,61,43,6.17,NU,1690159620
141,labytnangi,66.6572,66.4183,17.12,79,14,2.26,RU,1690159458
142,rawlins,41.7911,-107.2387,30.94,16,0,2.06,US,1690159621
143,patterson,37.4716,-121.1297,37.86,9,56,3.21,US,1690159621
144,sorong,-0.8833,131.25,26.14,82,81,6.16,ID,1690159621
145,namibe,-15.1961,12.1522,17.43,72,60,4.01,AO,1690159464
146,zaragoza,41.6561,-0.8773,24.25,58,0,6.69,ES,1690159512
147,richards bay,-28.783,32.0377,18.79,86,100,5.01,ZA,1690159621
148,guerrero negro,27.9769,-114.0611,22.52,68,60,7.29,MX,1690159622
149,nova sintra,14.8667,-24.7167,23.3,78,94,4.31,CV,1690159622
150,la'ie,21.6477,-157.9253,30.98,74,7,6.39,US,1690159622
151,yibin,28.7667,104.6238,27.71,86,100,1.21,CN,1690159622
152,castro,-24.7911,-50.0119,13.66,81,6,1.44,BR,1690159623
153,timmins,48.4669,-81.3331,19.9,73,100,4.63,CA,1690159380
154,hengchun,22.0042,120.7439,29.87,70,74,5.53,TW,1690159623
155,hithadhoo,-0.6,73.0833,28.15,77,38,4.25,MV,1690159623
156,sona,45.4388,10.8255,23.21,78,0,1.54,IT,1690159624
157,catamayo,-3.9833,-79.35,18.8,81,2,2.24,EC,1690159624
158,miri,4.4148,114.0089,27.08,89,20,1.54,MY,1690159624
159,stanley,54.868,-1.6985,11.27,92,20,4.12,GB,1690159624
160,st. john's,47.5649,-52.7093,21.66,93,75,4.12,CA,1690159361
161,tondano,1.3038,124.9112,27.05,69,48,3.48,ID,1690159625
162,bandarbeyla,9.4942,50.8122,25.79,65,100,12.65,SO,1690159625
163,bardai,11.65,7.2333,21.89,82,100,1.66,NG,1690159625
164,port blair,11.6667,92.75,25.02,94,100,1.03,IN,1690159625
165,arraial do cabo,-22.9661,-42.0278,21.33,88,0,9.35,BR,1690159478
166,kenai,60.5544,-151.2583,18.05,84,0,6.17,US,1690159626
167,sao vicente,-23.9631,-46.3919,25.71,26,4,1.61,BR,1690159405
168,rudbar,30.15,62.6,30.0,18,100,4.42,AF,1690159626
169,assai,-23.3733,-50.8414,21.92,70,3,1.69,BR,1690159626
170,longyearbyen,78.2186,15.6401,9.91,76,40,4.12,SJ,1690159626
171,pathein,16.7833,94.7333,27.01,85,18,1.91,MM,1690159627
172,illizi,26.4833,8.4667,30.89,11,0,5.96,DZ,1690159627
173,petropavlovsk-kamchatsky,53.0452,158.6483,23.33,46,20,6.0,RU,1690159627
